                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.68738,                0.92345,                 1.0529,                0.94351,                0.39498,                0.45937,                0.34927,                 1.7337,                 2.3003,                 1.5177,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.2074,                 1.8181,                 1.6253,                0.94351,                0.39498,                0.45937,                0.34927,                 1.7337,                 2.3003,                 1.5177,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.0447,                 1.5607,                 1.3719,                0.94505,                0.39646,                0.42687,                0.31867,                 1.7415,                  2.314,                 1.5172,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.86853,                 1.5362,                 1.3064,                0.94505,                0.39646,                0.42687,                0.31867,                 1.7415,                  2.314,                 1.5172,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 0.7321,                0.78351,                 1.1615,                0.94505,                0.39646,                0.42687,                0.31867,                 1.7415,                  2.314,                 1.5172,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.0728,                0.82686,                 1.5715,                0.94299,                0.39791,                0.42862,                0.31933,                 1.7973,                 2.3705,                 1.5618,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.62487,                0.75392,                 1.0979,                0.94299,                0.39791,                0.42862,                0.31933,                 1.7973,                 2.3705,                 1.5618,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.71674,                0.94501,                 1.0653,                0.94299,                0.39791,                0.42862,                0.31933,                 1.7973,                 2.3705,                 1.5618,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.79216,                 0.8707,                 1.1706,                0.94157,                0.39758,                0.42816,                0.31908,                 1.8624,                 2.3996,                 1.6319,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.67129,                0.72552,                 1.0971,                0.94157,                0.39758,                0.42816,                0.31908,                 1.8624,                 2.3996,                 1.6319,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.59523,                 0.8897,                 1.1916,                0.94157,                0.39758,                0.42816,                0.31908,                 1.8624,                 2.3996,                 1.6319,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.69991,                 1.1814,                 1.1111,                0.94038,                0.39771,                0.42869,                0.31779,                  1.823,                 2.3689,                 1.5708,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.75445,                 1.1237,                 1.1066,                0.94038,                0.39771,                0.42869,                0.31779,                  1.823,                 2.3689,                 1.5708,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.0301,                 2.0714,                 1.4314,                0.94038,                0.39771,                0.42869,                0.31779,                  1.823,                 2.3689,                 1.5708,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.69852,                 1.0909,                  1.189,                0.94047,                0.39663,                0.42817,                0.30069,                 1.7996,                 2.3225,                 1.5439,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.97796,                 1.0299,                 1.4311,                0.94047,                0.39663,                0.42817,                0.30069,                 1.7996,                 2.3225,                 1.5439,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.0311,                 1.4467,                 1.4083,                0.94047,                0.39663,                0.42817,                0.30069,                 1.7996,                 2.3225,                 1.5439,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                   0.64,                0.67364,                 1.0845,                0.94413,                0.39865,                0.42899,                0.30428,                 1.8131,                 2.3387,                  1.555,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.71135,                 1.0328,                 1.0758,                0.94413,                0.39865,                0.42899,                0.30428,                 1.8131,                 2.3387,                  1.555,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.72871,                0.70496,                  1.199,                0.94413,                0.39865,                0.42899,                0.30428,                 1.8131,                 2.3387,                  1.555,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.74102,                0.59425,                  1.157,                0.94338,                0.39834,                 0.4293,                0.30447,                 1.8428,                 2.3609,                 1.5917,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.60651,                0.97515,                 1.1398,                0.94338,                0.39834,                 0.4293,                0.30447,                 1.8428,                 2.3609,                 1.5917,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.66429,                0.67558,                 1.1178,                0.94338,                0.39834,                 0.4293,                0.30447,                 1.8428,                 2.3609,                 1.5917,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.88222,                 1.1988,                 1.2102,                0.94093,                0.39574,                0.42751,                0.29391,                 1.8442,                 2.3446,                 1.5867,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.55842,                0.74491,                 1.1054,                0.94093,                0.39574,                0.42751,                0.29391,                 1.8442,                 2.3446,                 1.5867,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.69659,                0.82729,                 1.1363,                0.94093,                0.39574,                0.42751,                0.29391,                 1.8442,                 2.3446,                 1.5867,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.52295,                 0.4863,                0.99415,                0.94129,                    0.4,                0.43014,                 0.2949,                 1.8468,                 2.3518,                 1.5855,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 0.7483,                0.71281,                 1.1481,                0.94129,                    0.4,                0.43014,                 0.2949,                 1.8468,                 2.3518,                 1.5855,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.80511,                0.87778,                 1.2164,                0.94129,                    0.4,                0.43014,                 0.2949,                 1.8468,                 2.3518,                 1.5855,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 0.6599,                0.67904,                 1.0631,                0.93986,                    0.4,                0.43015,                0.29535,                 1.8529,                 2.3769,                  1.591,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.64878,                0.81568,                 1.1679,                0.93986,                    0.4,                0.43015,                0.29535,                 1.8529,                 2.3769,                  1.591,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                  0.984,                0.93331,                 1.2117,                0.93986,                    0.4,                0.43015,                0.29535,                 1.8529,                 2.3769,                  1.591,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.70248,                0.81019,                 1.0443,                0.93986,                    0.4,                0.43015,                0.29535,                 1.8529,                 2.3769,                  1.591,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.81319,                 1.0921,                 1.3894,                 0.9406,                    0.4,                 0.4301,                 0.2955,                 1.8577,                 2.3878,                 1.5787,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.0194,                 1.1117,                 1.5068,                 0.9406,                    0.4,                 0.4301,                 0.2955,                 1.8577,                 2.3878,                 1.5787,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.61949,                0.67686,                 1.0018,                 0.9406,                    0.4,                 0.4301,                 0.2955,                 1.8577,                 2.3878,                 1.5787,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.56736,                0.58267,                0.95299,                 0.9406,                    0.4,                 0.4301,                 0.2955,                 1.8577,                 2.3878,                 1.5787,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.74314,                0.86171,                0.99039,                0.94711,                0.39763,                0.42743,                0.29391,                 1.7539,                 2.3778,                  1.491,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.42134,                0.50874,                0.98191,                0.94711,                0.39763,                0.42743,                0.29391,                 1.7539,                 2.3778,                  1.491,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.58176,                0.53332,                0.91185,                0.94711,                0.39763,                0.42743,                0.29391,                 1.7539,                 2.3778,                  1.491,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 0.4702,                0.54999,                0.94748,                0.94711,                0.39763,                0.42743,                0.29391,                 1.7539,                 2.3778,                  1.491,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.47773,                0.54607,                 0.9889,                0.93987,                 0.3966,                0.42611,                0.31105,                 1.7962,                 2.4259,                 1.5121,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.70882,                0.81352,                 1.0417,                0.93987,                 0.3966,                0.42611,                0.31105,                 1.7962,                 2.4259,                 1.5121,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.47172,                0.56122,                0.90898,                0.93987,                 0.3966,                0.42611,                0.31105,                 1.7962,                 2.4259,                 1.5121,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.57173,                0.65023,                 0.9706,                0.93987,                 0.3966,                0.42611,                0.31105,                 1.7962,                 2.4259,                 1.5121,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.46802,                0.55639,                0.97575,                 0.9482,                0.39687,                0.50962,                0.37641,                 1.7524,                  2.415,                 1.4979,             2.3444e-06,             2.3444e-06,             2.3444e-06
